metric,value,value_raw,unit_scale
SDMAIdInt8,4193,4193,none
SDMAIdInt9,2531,2531,none
SDMAIdInt10,4341,4341,none
SDMAIdInt11,3566,3566,none
SDMAIdInt12,2378,2378,none
SDMAIdInt13,10349,10349,none
SDMAIdInt14,76921362,76921362,none
SDMAIdInt15,3699,3699,none
SDMAPrIntCn0,0,0,none
SDMAPrIntCn1,0,0,none
SDMAPrIntCn2,0,0,none
SDMAPrIntCn3,0,0,none
SDMAPrIntCn4,0,0,none
SDMAPrIntCn5,0,0,none
SDMAPrIntCn6,0,0,none
SDMAPrIntCn7,0,0,none
SDMAPrIntCn8,0,0,none
SDMAPrIntCn9,0,0,none
SDMAPrIntCn10,0,0,none
SDMAPrIntCn11,0,0,none
SDMAPrIntCn12,0,0,none
SDMAPrIntCn13,0,0,none
SDMAPrIntCn14,0,0,none
SDMAPrIntCn15,0,0,none
MISC_PLL_LOCK_FAIL_ERR,0,0,none
MISC_MBIST_FAIL_ERR,0,0,none
MISC_INVALID_EEP_CMD_ERR,0,0,none
MISC_EFUSE_DONE_PARITY_ERR,0,0,none
MISC_EFUSE_WRITE_ERR,0,0,none
MISC_EFUSE_READ_BAD_ADDR_ERR,0,0,none
MISC_EFUSE_CSR_PARITY_ERR,0,0,none
MISC_FW_AUTH_FAILED_ERR,0,0,none
MISC_KEY_MISMATCH_ERR,0,0,none
MISC_SBUS_WRITE_FAILED_ERR,0,0,none
MISC_CSR_WRITE_BAD_ADDR_ERR,0,0,none
MISC_CSR_READ_BAD_ADDR_ERR,0,0,none
MISC_CSR_PARITY_ERR,0,0,none
CceErrStatusAggregatedCnt,0,0,none
CceMsixCsrParityErr,0,0,none
CceIntMapUncErr,0,0,none
CceIntMapCorErr,0,0,none
CceMsixTableUncErr,0,0,none
CceMsixTableCorErr,0,0,none
CceRxdmaConvFifoParityErr,0,0,none
CceRcplAsyncFifoParityErr,0,0,none
CceSegWriteBadAddrErr,0,0,none
CceSegReadBadAddrErr,0,0,none
CceTrgtCplTimeoutErr,0,0,none
PcicReceiveParityErr,0,0,none
PcicTransmitBackParityErr,0,0,none
PcicTransmitFrontParityErr,0,0,none
PcicCplDatQUncErr,0,0,none
PcicCplHdQUncErr,0,0,none
PcicPostDatQUncErr,0,0,none
PcicPostHdQUncErr,0,0,none
PcicRetrySotMemUncErr,0,0,none
PcicRetryMemUncErr,0,0,none
PcicNPostDatQParityErr,0,0,none
PcicNPostHQParityErr,0,0,none
PcicCplDatQCorErr,0,0,none
PcicCplHdQCorErr,0,0,none
